date,quarter,baba,pdd,jd,meituan
2016-06-30,2016 Q2,19.78,,15.53,
2016-09-30,2016 Q3,19.51,,16.57,
2016-12-31,2016 Q4,14.6,,15.89,
2017-03-31,2017 Q1,19.98,,14.95,
2017-06-30,2017 Q2,16.99,,14.0,
2017-09-30,2017 Q3,17.6,,14.9,
2017-12-31,2017 Q4,15.8,,13.58,
2018-03-31,2018 Q1,19.29,90.01,14.14,
2018-06-30,2018 Q2,19.24,323.78,14.35,
2018-09-30,2018 Q3,16.31,104.83,15.98,
2018-12-31,2018 Q4,15.31,108.65,15.0,
2019-03-31,2019 Q1,18.32,112.76,14.07,
2019-06-30,2019 Q2,14.81,87.55,13.21,
2019-09-30,2019 Q3,15.62,97.76,13.44,
2019-12-31,2019 Q4,14.38,88.92,5.5,
2020-03-31,2020 Q1,17.68,116.72,11.13,
2020-06-30,2020 Q2,13.33,77.98,10.04,
2020-09-30,2020 Q3,18.92,73.47,10.7,
2020-12-31,2020 Q4,15.39,59.03,11.9,
2021-03-31,2021 Q1,27.21,60.22,11.33,24.16
2021-06-30,2021 Q2,16.62,46.96,10.96,29.48
2021-09-30,2021 Q3,18.8,48.29,11.47,28.21
2021-12-31,2021 Q4,18.62,43.72,12.08,27.61
2022-03-31,2022 Q1,17.0,49.64,11.12,24.68
2022-06-30,2022 Q2,16.55,38.71,10.51,22.56
2022-09-30,2022 Q3,15.9,42.12,10.09,21.39
2022-12-31,2022 Q4,16.53,48.66,10.98,21.98
2023-03-31,2023 Q1,18.09,45.37,10.65,21.2
2023-06-30,2023 Q2,14.67,34.69,10.45,24.56
2023-09-30,2023 Q3,15.52,32.69,10.36,25.43
2023-12-31,2023 Q4,17.3,31.97,10.7,26.36
2024-03-31,2024 Q1,19.29,29.07,10.78,22.09
2024-06-30,2024 Q2,18.9,28.73,10.71,21.31
2024-09-30,2024 Q3,17.86,32.5,10.99,22.18
2024-12-31,2024 Q4,19.11,30.17,11.37,22.87
2025-03-31,2025 Q1,19.73,36.65,10.86,20.68
2025-06-30,2025 Q2,24.46,27.64,14.7,27.44
2025-09-30,2025 Q3,29.81,29.63,15.4,38.98
2025-12-31,2025 Q4,28.19,30.42,14.91,37.65
2026-03-31,2026 Q1,26.12,33.28,13.42,28.46
