date,quarter,li,nio,xpev
2021-06-30,2021 Q2,16.58,17.73,27.4
2021-09-30,2021 Q3,13.14,18.61,26.9
2021-12-31,2021 Q4,10.6,23.82,23.56
2022-03-31,2022 Q1,12.58,20.33,22.02
2022-06-30,2022 Q2,15.17,22.18,22.38
2022-09-30,2022 Q3,16.13,20.86,23.83
2022-12-31,2022 Q4,9.23,21.96,34.16
2023-03-31,2023 Q1,8.76,22.91,34.38
2023-06-30,2023 Q2,8.06,32.57,30.49
2023-09-30,2023 Q3,7.34,18.93,19.84
2023-12-31,2023 Q4,7.83,23.23,14.84
2024-03-31,2024 Q1,11.62,30.24,21.2
2024-06-30,2024 Q2,8.89,21.54,19.4
2024-09-30,2024 Q3,7.84,22,16.17
2024-12-31,2024 Q4,6.95,24.76,14.13
2025-03-31,2025 Q1,9.76,36.57,12.31
2025-06-30,2025 Q2,8.99,20.86,11.86
2025-09-30,2025 Q3,10.12,19.2,12.23
2025-12-31,2025 Q4,9.2,10.21,12.55
2026-03-31,2026 Q1,8.92,13.7,14.45
