calendar_quarter,fiscal_period,fiscal_year,report_date,revenue_usd,sga_usd,sga_to_revenue_pct,source
"2016 Q3","Q2",2016,"2016-07-31",1428000000,-157000000,10.99,"http://www.sec.gov/Archives/edgar/data/1045810/000104581017000123/0001045810-17-000123-index.htm"
"2016 Q4","Q3",2016,"2016-10-31",2004000000,-171000000,8.53,"http://www.sec.gov/Archives/edgar/data/1045810/000104581017000172/0001045810-17-000172-index.htm"
"2017 Q1","Q4",2016,"2017-01-31",2173000000,-176000000,8.1,"http://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/0001045810-18-000010-index.htm"
"2017 Q2","Q1",2017,"2017-04-30",1937000000,-185000000,9.55,"http://www.sec.gov/Archives/edgar/data/1045810/000104581017000075/0001045810-17-000075-index.htm"
"2017 Q3","Q2",2017,"2017-07-31",2230000000,-198000000,8.88,"http://www.sec.gov/Archives/edgar/data/1045810/000104581017000123/0001045810-17-000123-index.htm"
"2017 Q4","Q3",2017,"2017-10-31",2636000000,-212000000,8.04,"http://www.sec.gov/Archives/edgar/data/1045810/000104581017000172/0001045810-17-000172-index.htm"
"2018 Q1","Q4",2017,"2018-01-31",2911000000,-221000000,7.59,"http://www.sec.gov/Archives/edgar/data/1045810/000104581017000172/0001045810-17-000172-index.htm"
"2018 Q2","Q1",2018,"2018-04-30",3207000000,-231000000,7.2,"http://www.sec.gov/Archives/edgar/data/1045810/000104581018000080/0001045810-18-000080-index.htm"
"2018 Q3","Q2",2018,"2018-07-31",3123000000,-237000000,7.59,"http://www.sec.gov/Archives/edgar/data/1045810/000104581018000114/0001045810-18-000114-index.htm"
"2018 Q4","Q3",2018,"2018-10-31",3181000000,-258000000,8.11,"http://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/0001045810-18-000150-index.htm"
"2019 Q1","Q4",2018,"2019-01-31",2205000000,-266000000,12.06,"http://www.sec.gov/Archives/edgar/data/1045810/000104581018000150/0001045810-18-000150-index.htm"
"2019 Q2","Q1",2019,"2019-04-30",2220000000,-264000000,11.89,"https://www.sec.gov/Archives/edgar/data/1045810/000104581019000079/0001045810-19-000079-index.htm"
"2019 Q3","Q2",2019,"2019-07-31",2579000000,-266000000,10.31,"https://www.sec.gov/Archives/edgar/data/1045810/000104581019000144/0001045810-19-000144-index.htm"
"2019 Q4","Q3",2019,"2019-10-31",3014000000,-277000000,9.19,"https://www.sec.gov/Archives/edgar/data/1045810/000104581020000189/0001045810-20-000189-index.htm"
"2020 Q1","Q4",2019,"2020-01-31",3105000000,-287000000,9.24,"https://www.sec.gov/Archives/edgar/data/1045810/000104581020000189/0001045810-20-000189-index.htm"
"2020 Q2","Q1",2020,"2020-04-30",3080000000,-293000000,9.51,"https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/0001045810-21-000064-index.htm"
"2020 Q3","Q2",2020,"2020-07-31",3866000000,-627000000,16.22,"https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/0001045810-21-000131-index.htm"
"2020 Q4","Q3",2020,"2020-10-31",4726000000,-515000000,10.9,"https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/0001045810-21-000163-index.htm"
